occupation,category,code,soccupation
Commissioned armed forces officers,Armed forces occupations,1100,Commissioned Armed Forces Officers
Non-commissioned armed forces officers,Armed forces occupations,2,Non-Commissioned Armed Forces Officers
Non-commissioned armed forces officers,Armed forces occupations,2100,Non-Commissioned Armed Forces Officers
"Armed forces occupations, other ranks",Armed forces occupations,3,"Armed Forces Occupations, Other Ranks"
"Armed forces occupations, other ranks",Armed forces occupations,3100,"Armed Forces Occupations, Other Ranks"
"Chief executives, senior officials and legislators",Managers,11,"Chief Executives, Senior Officials and Legislators"
Legislators and senior officials,Managers,111,Legislators and Senior Officials
Managing directors and chief executives,Managers,112,Managing Directors and Chief Executives
Administrative and commercial managers,Managers,12,Administrative and Commercial Managers
Business services and administration managers,Managers,121,Business Services and Administration Managers
"Sales, marketing and development managers",Managers,122,"Sales, Marketing and Development Managers"
Production and specialised services managers,Managers,13,Production and Specialised Services Managers
"Production managers in agriculture, forestry and fisheries",Managers,131,"Production Managers in Agriculture, Forestry and Fisheries"
"Manufacturing, mining, construction, and distribution managers",Managers,132,"Manufacturing, Mining, Construction, and Distribution Managers"
Information and communications technology service managers,Managers,133,Information and Communications Technology Service Managers
Professional services managers,Managers,134,Professional Services Managers
"Hospitality, retail and other services managers",Managers,14,"Hospitality, Retail and Other Services Managers"
Hotel and restaurant managers,Managers,141,Hotel and Restaurant Managers
Retail and wholesale trade managers,Managers,142,Retail and Wholesale Trade Managers
Other services managers,Managers,143,Other Services Managers
Science and engineering professionals,Professionals,21,Science and Engineering Professionals
Physical and earth science professionals,Professionals,211,Physical and Earth Science Professionals
"Mathematicians, actuaries and statisticians",Professionals,212,"Mathematicians, Actuaries and Statisticians"
Life science professionals,Professionals,213,Life Science Professionals
"Engineering professionals ,excluding electrotechnology",Professionals,214,"Engineering Professionals ,Excluding Electrotechnology"
Electrotechnology engineers,Professionals,215,Electrotechnology Engineers
"Architects, planners, surveyors and designers",Professionals,216,"Architects, Planners, Surveyors and Designers"
Health professionals,Professionals,22,Health Professionals
Medical doctors,Professionals,221,Medical Doctors
Nursing and midwifery professionals,Professionals,222,Nursing and Midwifery Professionals
Traditional and complementary medicine professionals,Professionals,223,Traditional and Complementary Medicine Professionals
Paramedical practitioners,Professionals,224,Paramedical Practitioners
Veterinarians,Professionals,225,Veterinarians
Other health professionals,Professionals,226,Other Health Professionals
Teaching professionals,Professionals,23,Teaching Professionals
University and higher education teachers,Professionals,231,University and Higher Education Teachers
Vocational education teachers,Professionals,232,Vocational Education Teachers
Secondary education teachers,Professionals,233,Secondary Education Teachers
Primary school and early childhood teachers,Professionals,234,Primary School and Early Childhood Teachers
Other teaching professionals,Professionals,235,Other Teaching Professionals
Teaching level not stated,Professionals,230,Teaching Level Not Stated
Business and administration professionals,Professionals,24,Business and Administration Professionals
Finance professionals,Professionals,241,Finance Professionals
Administration professionals,Professionals,242,Administration Professionals
"Sales, marketing and public relations professionals",Professionals,243,"Sales, Marketing and Public Relations Professionals"
Information and communications technology professionals,Professionals,25,Information and Communications Technology Professionals
Software and applications developers and analysts,Professionals,251,Software and Applications Developers and Analysts
Database and network professionals,Professionals,252,Database and Network Professionals
"Legal, social and cultural professionals",Professionals,26,"Legal, Social and Cultural Professionals"
Legal professionals,Professionals,261,Legal Professionals
"Librarians, archivists and curators",Professionals,262,"Librarians, Archivists and Curators"
Social and religious professionals,Professionals,263,Social and Religious Professionals
"Authors, journalists and linguists",Professionals,264,"Authors, Journalists and Linguists"
Creative and performing artists,Professionals,265,Creative and Performing Artists
Science and engineering associate professionals,Technicians and associate professionals,31,Science and Engineering Associate Professionals
Physical and engineering science technicians,Technicians and associate professionals,311,Physical and Engineering Science Technicians
"Mining, manufacturing and construction supervisors",Technicians and associate professionals,312,"Mining, Manufacturing and Construction Supervisors"
Process control technicians,Technicians and associate professionals,313,Process Control Technicians
Life science technicians and related associate professionals,Technicians and associate professionals,314,Life Science Technicians and Related Associate Professionals
Ship and aircraft controllers and technicians,Technicians and associate professionals,315,Ship and Aircraft Controllers and Technicians
Health associate professionals,Technicians and associate professionals,32,Health Associate Professionals
Medical and pharmaceutical technicians,Technicians and associate professionals,321,Medical and Pharmaceutical Technicians
Nursing and midwifery associate professionals,Technicians and associate professionals,322,Nursing and Midwifery Associate Professionals
Traditional and complementary medicine associate professionals,Technicians and associate professionals,323,Traditional and Complementary Medicine Associate Professionals
Veterinary technicians and assistants,Technicians and associate professionals,324,Veterinary Technicians and Assistants
Other health associate professionals,Technicians and associate professionals,325,Other Health Associate Professionals
Business and administration associate professionals,Technicians and associate professionals,33,Business and Administration Associate Professionals
Financial and mathematical associate professionals,Technicians and associate professionals,331,Financial and Mathematical Associate Professionals
Sales and purchasing agents and brokers,Technicians and associate professionals,332,Sales and Purchasing Agents and Brokers
Business services agents,Technicians and associate professionals,333,Business Services Agents
Administrative and specialised secretaries,Technicians and associate professionals,334,Administrative and Specialised Secretaries
Regulatory government associate professionals,Technicians and associate professionals,335,Regulatory Government Associate Professionals
"Legal, social, cultural and related associate professionals",Technicians and associate professionals,34,"Legal, Social, Cultural and Related Associate Professionals"
"Legal, social and religious associate professionals",Technicians and associate professionals,341,"Legal, Social and Religious Associate Professionals"
Sports and fitness workers,Technicians and associate professionals,342,Sports and Fitness Workers
"Artistic, cultural and culinary associate professionals",Technicians and associate professionals,343,"Artistic, Cultural and Culinary Associate Professionals"
Information and communications technicians,Technicians and associate professionals,35,Information and Communications Technicians
Information and communications technology operations and user support technicians,Technicians and associate professionals,351,ICT Operations and User Support Technicians
Telecommunications and broadcasting technicians,Technicians and associate professionals,352,Telecommunications and Broadcasting Technicians
General and keyboard clerks,Clerical support workers,41,General and Keyboard Clerks
General office clerks,Clerical support workers,411,General Office Clerks
"Secretaries ,general",Clerical support workers,412,"Secretaries ,General"
Keyboard operators,Clerical support workers,413,Keyboard Operators
Customer services clerks,Clerical support workers,42,Customer Services Clerks
"Tellers, money collectors and related clerks",Clerical support workers,421,"Tellers, Money Collectors and Related Clerks"
Client information workers,Clerical support workers,422,Client information Workers
Numerical and material recording clerks,Clerical support workers,43,Numerical and Material Recording Clerks
Numerical clerks,Clerical support workers,431,Numerical Clerks
Material-recording and transport clerks,Clerical support workers,432,Material-Recording and Transport Clerks
Other clerical support workers,Clerical support workers,44,Other Clerical Support Workers
Other clerical support workers,Clerical support workers,441,Other Clerical Support Workers
Personal service workers,Service and sales workers,51,Personal Service Workers
"Travel attendants, conductors and guides",Service and sales workers,511,"Travel Attendants, Conductors and Guides"
Cooks,Service and sales workers,512,Cooks
Waiters and bartenders,Service and sales workers,513,Waiters and Bartenders
"Hairdressers, beauticians and related workers",Service and sales workers,514,"Hairdressers, Beauticians and Related Workers"
Building and housekeeping supervisors,Service and sales workers,515,Building and Housekeeping Supervisors
Other personal services workers,Service and sales workers,516,Other Personal Services Workers
Sales workers,Service and sales workers,52,Sales Workers
Street and market salespersons,Service and sales workers,521,Street and Market Salespersons
Shop salespersons,Service and sales workers,522,Shop Salespersons
Cashiers and ticket clerks,Service and sales workers,523,Cashiers and Ticket Clerks
Other sales workers,Service and sales workers,524,Other Sales Workers
Personal care workers,Service and sales workers,53,Personal Care Workers
Child care workers and teachers aides,Service and sales workers,531,Child Care Workers and Teachers Aides
Personal care workers in health services,Service and sales workers,532,Personal Care Workers in Health Services
Protective services workers,Service and sales workers,54,Protective Services Workers
Protective services workers,Service and sales workers,541,Protective Services Workers
Market-oriented skilled agricultural workers,"Skilled agricultural, forestry and fishery workers",61,Market-Oriented Skilled Agricultural Workers
Market gardeners and crop growers,"Skilled agricultural, forestry and fishery workers",611,Market Gardeners and Crop Growers
Animal producers,"Skilled agricultural, forestry and fishery workers",612,Animal Producers
Mixed crop and animal producers,"Skilled agricultural, forestry and fishery workers",613,Mixed Crop and Animal Producers
"Market-oriented skilled forestry, fishery and hunting workers","Skilled agricultural, forestry and fishery workers",62,"Market-Oriented Skilled Forestry, Fishery and Hunting Workers"
Forestry and related workers,"Skilled agricultural, forestry and fishery workers",621,Forestry and Related Workers
"Fishery workers, hunters and trappers","Skilled agricultural, forestry and fishery workers",622,"Fishery Workers, Hunters and Trappers"
"Subsistence farmers, fishers, hunters and gatherers","Skilled agricultural, forestry and fishery workers",63,"Subsistence Farmers, Fishers, Hunters and Gatherers"
Subsistence crop farmers,"Skilled agricultural, forestry and fishery workers",631,Subsistence Crop Farmers
Subsistence livestock farmers,"Skilled agricultural, forestry and fishery workers",632,Subsistence Livestock Farmers
Subsistence mixed crop and livestock farmers,"Skilled agricultural, forestry and fishery workers",633,Subsistence Mixed Crop and Livestock Farmers
"Subsistence fishers, hunters, trappers and gatherers","Skilled agricultural, forestry and fishery workers",634,"Subsistence Fishers, Hunters, Trappers and Gatherers"
"Building and related trades workers, excluding electricians",Craft and related trades workers,71,"Building and Related Trades Workers, Excluding Electricians"
Building frame and related trades workers,Craft and related trades workers,711,Building Frame and Related Trades Workers
Building finishers and related trades workers,Craft and related trades workers,712,Building Finishers and Related Trades Workers
"Painters, building structure cleaners and related trades workers",Craft and related trades workers,713,"Painters, Building Structure Cleaners and Related Trades Workers"
"Metal, machinery and related trades workers",Craft and related trades workers,72,"Metal, Machinery and Related Trades Workers"
"Sheet and structural metal workers, moulders and welders, and related workers",Craft and related trades workers,721,"Sheet and Structural Metal Workers, Moulders and Welders"
"Blacksmiths, toolmakers and related trades workers",Craft and related trades workers,722,"Blacksmiths, Toolmakers and Related Trades Workers"
Machinery mechanics and repairers,Craft and related trades workers,723,Machinery Mechanics and Repairers
Handicraft and printing workers,Craft and related trades workers,73,Handicraft and Printing Workers
Handicraft workers,Craft and related trades workers,731,Handicraft Workers
Printing trades workers,Craft and related trades workers,732,Printing Trades Workers
Electrical and electronic trades workers,Craft and related trades workers,74,Electrical and Electronic Trades Workers
Electrical equipment installers and repairers,Craft and related trades workers,741,Electrical Equipment installers and Repairers
