sex,occ,sex_sp,occ_sp,total
1,111,2,111,5
1,111,2,112,13
1,111,2,121,1
1,111,2,122,2
1,111,2,132,1
1,111,2,133,1
1,111,2,142,3
1,111,2,143,1
1,111,2,216,1
1,111,2,221,1
1,111,2,230,1
1,111,2,231,1
1,111,2,233,1
1,111,2,241,1
1,111,2,261,1
1,111,2,265,1
1,111,2,311,4
1,111,2,313,1
1,111,2,315,3
1,111,2,334,1
1,111,2,335,2
1,111,2,351,2
1,111,2,411,1
1,111,2,422,1
1,111,2,512,1
1,111,2,524,1
1,111,2,541,4
1,111,2,611,2
1,111,2,622,5
1,111,2,711,3
1,111,2,731,1
1,111,2,832,1
1,111,2,835,1
1,111,2,911,3
1,111,2,933,1
1,111,2,2000,1
1,111,2,3000,2
1,111,2,3100,3
1,111,2,5000,1
1,111,2,6000,4
1,112,2,111,4
1,112,2,112,89
1,112,2,121,4
1,112,2,122,5
1,112,2,132,6
1,112,2,134,6
1,112,2,141,4
1,112,2,142,12
1,112,2,143,7
1,112,2,214,1
1,112,2,216,2
1,112,2,221,8
1,112,2,222,1
1,112,2,226,1
1,112,2,230,2
1,112,2,231,2
1,112,2,233,1
1,112,2,234,1
1,112,2,235,1
1,112,2,241,4
1,112,2,242,2
1,112,2,251,1
1,112,2,261,2
1,112,2,264,4
1,112,2,265,2
1,112,2,311,5
1,112,2,312,1
1,112,2,313,3
1,112,2,315,1
1,112,2,331,2
1,112,2,332,1
1,112,2,334,8
1,112,2,335,8
1,112,2,351,8
1,112,2,411,7
1,112,2,412,1
1,112,2,432,1
1,112,2,441,1
1,112,2,511,1
1,112,2,522,1
1,112,2,523,1
1,112,2,541,9
1,112,2,711,2
1,112,2,712,1
1,112,2,741,1
1,112,2,1100,2
1,112,2,2000,3
1,112,2,2100,5
1,112,2,3000,3
1,112,2,3100,5
1,112,2,5000,6
1,112,2,6000,7
1,112,2,9000,2
1,121,2,111,1
1,121,2,112,22
1,121,2,121,17
1,121,2,122,6
1,121,2,132,3
1,121,2,133,3
1,121,2,134,4
1,121,2,142,4
1,121,2,143,4
1,121,2,214,1
1,121,2,216,2
1,121,2,233,1
1,121,2,241,4
1,121,2,265,3
1,121,2,311,1
1,121,2,312,2
1,121,2,315,2
1,121,2,331,3
1,121,2,332,3
1,121,2,334,5
1,121,2,335,3
1,121,2,342,1
1,121,2,343,1
1,121,2,351,8
1,121,2,352,3
1,121,2,411,5
1,121,2,431,2
1,121,2,511,5
1,121,2,522,4
1,121,2,523,1
1,121,2,541,13
1,121,2,741,1
1,121,2,832,2
1,121,2,833,1
1,121,2,834,1
1,121,2,911,2
1,121,2,933,2
1,121,2,962,2
1,121,2,2000,6
1,121,2,2100,3
1,121,2,3000,1
1,121,2,3100,6
1,121,2,5000,7
1,121,2,6000,3
1,122,2,112,10
1,122,2,122,5
1,122,2,132,3
1,122,2,133,1
1,122,2,141,1
1,122,2,142,5
1,122,2,214,2
1,122,2,230,1
1,122,2,241,3
1,122,2,265,2
1,122,2,311,1
1,122,2,315,4
1,122,2,331,1
1,122,2,333,1
1,122,2,335,3
1,122,2,351,2
1,122,2,411,2
1,122,2,421,1
1,122,2,511,1
1,122,2,524,1
1,122,2,541,1
1,122,2,5000,2
1,131,2,611,1
1,131,2,6000,1
1,132,2,112,5
1,132,2,121,1
1,132,2,132,8
1,132,2,142,1
1,132,2,251,1
1,132,2,311,2
1,132,2,315,3
1,132,2,333,1
1,132,2,334,1
1,132,2,335,1
1,132,2,352,2
1,132,2,411,1
1,132,2,422,1
1,132,2,541,2
1,132,2,723,1
1,132,2,933,1
1,133,2,112,1
1,133,2,134,1
1,133,2,3100,1
1,134,2,31,1
1,134,2,111,7
1,134,2,112,16
1,134,2,121,5
1,134,2,122,2
1,134,2,132,6
1,134,2,133,1
1,134,2,134,25
1,134,2,141,3
1,134,2,142,10
1,134,2,143,3
1,134,2,214,1
1,134,2,216,1
1,134,2,222,1
1,134,2,230,2
1,134,2,231,1
1,134,2,233,2
1,134,2,234,3
1,134,2,235,1
1,134,2,241,1
1,134,2,261,3
1,134,2,263,1
1,134,2,264,1
1,134,2,265,3
1,134,2,311,1
1,134,2,312,1
1,134,2,315,7
1,134,2,325,1
1,134,2,332,3
1,134,2,334,4
1,134,2,335,2
1,134,2,343,2
1,134,2,352,2
1,134,2,411,6
1,134,2,412,1
1,134,2,431,1
1,134,2,522,4
1,134,2,524,1
1,134,2,541,8
1,134,2,711,2
1,134,2,712,1
1,134,2,723,2
1,134,2,731,1
1,134,2,732,1
1,134,2,832,2
1,134,2,834,1
1,134,2,835,2
1,134,2,931,1
1,134,2,933,2
1,134,2,1100,2
1,134,2,2000,2
1,134,2,2100,4
1,134,2,3000,2
1,134,2,3100,5
1,134,2,5000,5
1,134,2,6000,18
1,134,2,9000,3
1,141,2,111,2
1,141,2,112,4
1,141,2,121,1
1,141,2,122,1
1,141,2,132,3
1,141,2,134,2
1,141,2,141,13
1,141,2,142,3
1,141,2,216,1
1,141,2,221,1
1,141,2,263,1
1,141,2,311,2
1,141,2,315,1
1,141,2,322,1
1,141,2,334,1
1,141,2,515,1
1,141,2,523,1
1,141,2,541,2
1,141,2,622,2
1,141,2,711,2
1,141,2,832,1
1,141,2,911,1
1,141,2,3000,2
1,141,2,3100,1
1,141,2,6000,2
1,142,2,111,4
1,142,2,112,15
1,142,2,121,9
1,142,2,122,1
1,142,2,131,1
1,142,2,132,3
1,142,2,133,1
1,142,2,134,2
1,142,2,141,1
1,142,2,142,78
