sex,occ,sex_sp,occ_sp,total
1,11,2,111,100
1,11,2,141,100
1,21,2,21,100
1,21,2,31,100
1,21,2,112,100
1,21,2,143,100
1,21,2,833,100
1,21,2,6000,100
1,31,2,11,100
1,31,2,21,700
1,31,2,31,500
1,31,2,132,100
1,31,2,235,100
1,31,2,315,100
1,31,2,352,100
1,31,2,541,100
1,31,2,753,100
1,31,2,3000,100
1,31,2,6000,100
1,111,2,31,100
1,111,2,111,400
1,111,2,112,1000
1,111,2,122,200
1,111,2,133,100
1,111,2,142,300
1,111,2,216,100
1,111,2,221,100
1,111,2,231,100
1,111,2,241,100
1,111,2,265,100
1,111,2,311,200
1,111,2,315,200
1,111,2,334,100
1,111,2,335,200
1,111,2,351,100
1,111,2,411,100
1,111,2,524,100
1,111,2,541,100
1,111,2,622,200
1,111,2,711,200
1,111,2,832,100
1,111,2,911,300
1,111,2,2000,100
1,111,2,3000,100
1,111,2,5000,300
1,111,2,6000,400
1,112,2,11,100
1,112,2,21,400
1,112,2,31,200
1,112,2,111,400
1,112,2,112,7400
1,112,2,121,400
1,112,2,122,300
1,112,2,132,300
1,112,2,134,400
1,112,2,141,300
1,112,2,142,600
1,112,2,143,500
1,112,2,214,100
1,112,2,216,200
1,112,2,221,700
1,112,2,222,100
1,112,2,226,100
1,112,2,231,100
1,112,2,233,100
1,112,2,234,100
1,112,2,235,100
1,112,2,241,100
1,112,2,242,200
1,112,2,261,100
1,112,2,264,200
1,112,2,265,200
1,112,2,311,500
1,112,2,312,100
1,112,2,313,300
1,112,2,315,100
1,112,2,331,200
1,112,2,334,700
1,112,2,335,300
1,112,2,351,600
1,112,2,411,500
1,112,2,412,100
1,112,2,432,100
1,112,2,522,100
1,112,2,541,500
1,112,2,711,100
1,112,2,712,100
1,112,2,2000,200
1,112,2,3000,100
1,112,2,5000,600
1,112,2,6000,700
1,112,2,9000,200
1,121,2,21,200
1,121,2,31,400
1,121,2,111,100
1,121,2,112,1600
1,121,2,121,1300
1,121,2,122,500
1,121,2,132,200
1,121,2,133,300
1,121,2,134,300
1,121,2,142,300
1,121,2,143,300
1,121,2,214,100
1,121,2,216,100
1,121,2,233,100
1,121,2,241,300
1,121,2,265,300
1,121,2,311,100
1,121,2,312,200
1,121,2,315,100
1,121,2,331,100
1,121,2,332,300
1,121,2,334,300
1,121,2,335,200
1,121,2,342,100
1,121,2,351,500
1,121,2,352,100
1,121,2,411,300
1,121,2,431,200
1,121,2,511,400
1,121,2,522,200
1,121,2,541,600
1,121,2,832,100
1,121,2,833,100
1,121,2,834,100
1,121,2,911,200
1,121,2,933,200
1,121,2,962,100
1,121,2,2000,400
1,121,2,5000,400
1,121,2,6000,300
1,122,2,112,1000
1,122,2,122,500
1,122,2,132,100
1,122,2,133,100
1,122,2,141,100
1,122,2,142,300
1,122,2,214,200
1,122,2,241,200
1,122,2,265,200
1,122,2,311,100
1,122,2,315,400
1,122,2,331,100
1,122,2,333,100
1,122,2,335,200
1,122,2,351,100
1,122,2,411,100
1,122,2,421,100
1,122,2,511,100
1,122,2,541,100
1,122,2,5000,100
1,131,2,611,100
1,131,2,6000,100
1,132,2,112,500
1,132,2,121,100
1,132,2,132,300
1,132,2,142,100
1,132,2,311,200
1,132,2,315,200
1,132,2,334,100
1,132,2,352,100
1,132,2,541,100
1,132,2,723,100
1,132,2,933,100
1,133,2,112,100
1,133,2,134,100
1,134,2,11,200
1,134,2,21,200
1,134,2,31,500
1,134,2,111,600
1,134,2,112,1400
1,134,2,121,300
1,134,2,122,200
1,134,2,132,400
1,134,2,133,100
1,134,2,134,2100
1,134,2,141,200
1,134,2,142,800
1,134,2,143,200
1,134,2,222,100
1,134,2,230,100
1,134,2,231,100
1,134,2,233,100
1,134,2,234,300
1,134,2,235,100
1,134,2,261,300
1,134,2,263,100
1,134,2,264,100
1,134,2,265,100
1,134,2,311,100
1,134,2,315,600
1,134,2,325,100
1,134,2,332,100
1,134,2,334,400
1,134,2,335,200
1,134,2,343,100
1,134,2,352,100
1,134,2,411,500
1,134,2,412,100
1,134,2,431,100
1,134,2,522,400
1,134,2,541,600
1,134,2,711,200
1,134,2,712,100
1,134,2,723,100
1,134,2,731,100
1,134,2,832,100
1,134,2,835,100
1,134,2,931,100
1,134,2,933,200
1,134,2,2000,100
1,134,2,5000,600
1,134,2,6000,1800
1,134,2,9000,100
1,141,2,31,100
1,141,2,111,200
1,141,2,112,400
1,141,2,122,100
1,141,2,132,200
1,141,2,134,200
1,141,2,141,1200
1,141,2,142,300
1,141,2,221,100
1,141,2,263,100
1,141,2,311,100
1,141,2,322,100
1,141,2,515,100
1,141,2,622,100
1,141,2,711,100
1,141,2,832,100
1,141,2,911,100
1,141,2,3000,200
1,141,2,6000,200
1,142,2,21,100
1,142,2,31,200
1,142,2,111,400
1,142,2,112,1400
1,142,2,121,900
1,142,2,131,100
1,142,2,132,300
1,142,2,133,100
1,142,2,134,200
1,142,2,141,100
1,142,2,142,7600
1,142,2,143,200
1,142,2,214,100
1,142,2,230,100
1,142,2,233,100
1,142,2,235,100
1,142,2,263,100
1,142,2,313,100
1,142,2,315,300
1,142,2,325,100
1,142,2,332,200
1,142,2,334,200
1,142,2,335,300
1,142,2,351,200
1,142,2,411,100
1,142,2,513,100
1,142,2,522,600
1,142,2,541,700
1,142,2,611,200
1,142,2,622,700
1,142,2,754,100
1,142,2,832,100
1,142,2,833,100
1,142,2,835,100
1,142,2,911,200
1,142,2,961,100
1,142,2,2000,100
1,142,2,3000,100
1,142,2,5000,400
1,142,2,6000,700
1,142,2,9999,100
1,143,2,21,200
1,143,2,112,200
1,143,2,122,200
1,143,2,132,100
1,143,2,134,100
1,143,2,141,100
1,143,2,142,500
1,143,2,143,200
1,143,2,315,100
1,143,2,334,100
1,143,2,335,200
1,143,2,341,100
1,143,2,351,100
1,143,2,511,200
1,143,2,523,100
1,143,2,541,200
1,143,2,611,100
1,143,2,622,100
1,143,2,832,100
1,143,2,962,100
1,143,2,2000,100
1,143,2,5000,100
1,143,2,6000,200
1,211,2,211,100
1,211,2,3000,100
1,211,2,6000,200
1,212,2,122,100
1,212,2,141,100
1,213,2,9000,100
1,214,2,112,100
1,214,2,214,100
1,214,2,351,100
1,216,2,111,100
1,216,2,112,100
1,216,2,121,100
1,216,2,315,100
1,216,2,332,100
1,216,2,334,100
1,216,2,3000,100
1,221,2,21,200
1,221,2,111,100
1,221,2,112,200
1,221,2,122,200
1,221,2,221,1900
1,221,2,251,100
1,221,2,315,100
1,221,2,325,100
1,221,2,351,200
1,221,2,411,100
1,221,2,422,100
1,221,2,431,100
1,221,2,432,100
1,221,2,622,100
1,221,2,911,100
1,221,2,6000,200
1,221,2,9000,200
1,222,2,21,200
1,222,2,31,200
1,222,2,111,400
1,222,2,112,600
1,222,2,121,400
1,222,2,122,300
1,222,2,132,200
1,222,2,142,500
1,222,2,214,100
1,222,2,222,1200
1,222,2,224,100
1,222,2,226,100
1,222,2,230,700
1,222,2,231,100
1,222,2,233,600
1,222,2,234,200
1,222,2,235,100
1,222,2,241,100
1,222,2,251,100
1,222,2,261,100
1,222,2,263,100
1,222,2,264,100
1,222,2,311,100
1,222,2,313,100
1,222,2,315,300
1,222,2,321,500
1,222,2,325,100
1,222,2,331,400
1,222,2,334,400
1,222,2,335,300
1,222,2,343,100
1,222,2,351,300
1,222,2,411,500
1,222,2,422,400
1,222,2,432,100
1,222,2,511,100
1,222,2,515,100
1,222,2,522,200
1,222,2,524,200
1,222,2,541,400
1,222,2,622,500
1,222,2,711,100
1,222,2,712,100
1,222,2,721,100
1,222,2,742,100
1,222,2,832,300
1,222,2,835,100
1,222,2,911,200
1,222,2,962,200
1,222,2,2000,100
1,222,2,3000,700
1,222,2,5000,500
1,222,2,6000,1500
1,222,2,9000,100
1,223,2,112,100
1,223,2,121,100
1,223,2,342,100
1,223,2,511,100
1,223,2,6000,100
1,223,2,9000,100
1,224,2,11,100
1,226,2,21,100
1,226,2,31,100
1,226,2,112,200
1,226,2,134,200
1,226,2,143,100
1,226,2,226,200
1,226,2,230,100
1,226,2,241,100
1,226,2,264,100
1,226,2,311,100
1,226,2,313,100
1,226,2,335,200
1,226,2,351,100
1,226,2,411,100
1,226,2,431,100
1,226,2,432,100
1,226,2,511,200
1,226,2,522,100
1,226,2,541,600
1,226,2,611,100
1,226,2,721,100
1,226,2,723,100
1,226,2,741,100
1,226,2,832,100
1,226,2,933,100
1,226,2,2000,200
1,226,2,5000,100
1,230,2,11,300
1,230,2,21,600
1,230,2,31,200
1,230,2,111,2300
1,230,2,112,2600
